Año,Mes,Marca,Modelo,Tipo,Segmento,Origen,PaisOrigen,Ventas
2005,Abril,Volkswagen ,Eurovan_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,74
2005,Abril,Volkswagen ,Gol,Automoviles,Subcompactos,Importado,Brasil,0
2005,Abril,Volkswagen ,Gol_Sedan,Automoviles,Subcompactos,Importado,Brasil,0
2005,Abril,Volkswagen ,Golf,Automoviles,Compactos,Importado,Brasil,162
2005,Abril,Volkswagen ,Golf,Automoviles,Compactos,Nacional,Mexico,0
2005,Abril,Volkswagen ,Golf_Gti,Automoviles,Deportivos,Importado,Alemania,14
2005,Abril,Volkswagen ,Golf_Variant,Automoviles,Compactos,Nacional,Mexico,0
2005,Abril,Volkswagen ,Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Abril,Volkswagen ,Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Abril,Volkswagen ,Jetta_4_PTAS,Automoviles,Compactos,Nacional,Mexico,2351
2005,Abril,Volkswagen ,Lupo_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,159
2005,Abril,Volkswagen ,Lupo_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,767
2005,Abril,Volkswagen ,Nuevo_Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Abril,Volkswagen ,Nuevo_Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Abril,Volkswagen ,Otros_Volkswagen,Camiones_ligeros,SUVs,Nacional,Mexico,0
2005,Abril,Volkswagen ,Passat,Automoviles,De_Lujo,Importado,Estados_Unidos,63
2005,Abril,Volkswagen ,Passat_Cc,Automoviles,De_Lujo,Importado,Estados_Unidos,0
2005,Abril,Volkswagen ,Pointer_Pick_Up,Camiones_ligeros,Pick_Ups,Importado,Brasil,225
2005,Abril,Volkswagen ,Pointer_Wagon,Automoviles,Compactos,Importado,Brasil,183
2005,Abril,Volkswagen ,Pointer_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,395
2005,Abril,Volkswagen ,Pointer_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,3259
2005,Abril,Volkswagen ,Polo_GTI,Automoviles,Subcompactos,Importado,España,0
2005,Abril,Volkswagen ,Polo_4_Ptas,Automoviles,Subcompactos,Importado,India,750
2005,Abril,Volkswagen ,Polo_5_Ptas,Automoviles,Subcompactos,Importado,Brasil,60
2005,Abril,Volkswagen ,Routan,Camiones_ligeros,Minivans,Importado,Canada,0
2005,Abril,Volkswagen ,Saveiro,Camiones_ligeros,Pick_Ups,Importado,Brasil,0
2005,Abril,Volkswagen ,Sedan,Automoviles,Subcompactos,Nacional,Mexico,0
2005,Abril,Volkswagen ,Sharan,Camiones_ligeros,Minivans,Importado,Portugal,85
2005,Abril,Volkswagen ,Sport_Van,Automoviles,Compactos,Importado,Argentina,0
2005,Abril,Volkswagen ,Sportwagen,Automoviles,Compactos,Nacional,Mexico,0
2005,Abril,Volkswagen ,Tcross,Camiones_ligeros,SUVs,Importado,Brasil,0
2005,Abril,Volkswagen ,Teramont,Camiones_ligeros,SUVs,Importado,Estados_Unidos,0
2005,Abril,Volkswagen ,Tiguan,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Abril,Volkswagen ,Tiguan,Camiones_ligeros,SUVs,Nacional,Mexico,0
2005,Abril,Volkswagen ,Touareg,Camiones_ligeros,SUVs,Importado,Eslovaquia,54
2005,Abril,Volkswagen ,Transporter_Carga,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Abril,Volkswagen ,Transporter_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Abril,Volkswagen ,UP,Automoviles,Subcompactos,Importado,Brasil,0
